2023-11-30 19:06:24,245 [INFO] model: convnext_tiny
logger_name: convnext_tiny--2023-11-30--epoch50--ver2.log
weights: convnext_tiny--2023-11-30--epoch50--ver2.ptconfig:
	batch_size: 32
	epochs: 50
	lr: 0.0001
	optimizer: adam
	use_labelsmooth_loss: False
2023-11-30 19:06:26,739 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5997906923294067	
2023-11-30 19:06:27,055 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.707477331161499	
2023-11-30 19:06:27,302 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6583116054534912	
2023-11-30 19:06:27,543 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.8694968223571777	
2023-11-30 19:06:27,794 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.537010669708252	
2023-11-30 19:06:28,059 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5491623878479004	
2023-11-30 19:06:28,312 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.8486688137054443	
2023-11-30 19:06:28,565 [INFO] Train:Epoch: [0 / 50]	Training Loss: 2.1416141986846924	
2023-11-30 19:06:28,814 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5944194793701172	
2023-11-30 19:06:29,063 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5861620903015137	
2023-11-30 19:06:29,316 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.7278224229812622	
2023-11-30 19:06:29,600 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5236352682113647	
2023-11-30 19:06:29,858 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5141329765319824	
2023-11-30 19:06:30,053 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.9237616062164307	
2023-11-30 19:06:30,261 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.59425950050354	
2023-11-30 19:06:30,456 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.575821876525879	
2023-11-30 19:06:30,650 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.5104284286499023	
2023-11-30 19:06:30,841 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.8973766565322876	
2023-11-30 19:06:31,045 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.6026676893234253	
2023-11-30 19:06:31,241 [INFO] Train:Epoch: [0 / 50]	Training Loss: 1.9243124723434448	
